이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액,이용요금_올림,이용요금_내림,이용요금_반올림
최성현,1999-08-05,044-231-4869,26,경기도 부천시 오정구,44,8,경기도 수원시 팔달구 팔달로3가,서울특별시 성북구 동선동1가,경기도 안성시 일죽면,서울특별시 서대문구 현저동,경기도 양평군 청운면,경기도 여주시 흥천면,N,Y,2,168587,0.3,50576,168590.0,168580.0,168590
김정훈,1952-02-20,053-293-4066,73,경기도 파주시 적성면,37,8,경기도 안성시 대덕면,경기도 여주시 세종대왕면,경기도 안성시 서운면,경기도 과천시 별양동,경기도 안성시 대천동,서울특별시 서초구 신원동,N,N,0,713033,0.2,142607,713040.0,713030.0,713030
배재현,1975-05-21,043-279-0768,50,경기도 이천시 장호원읍,29,9,경기도 이천시 부발읍,서울특별시 종로구 관훈동,경기도 양주시 남면,서울특별시 구로구 가리봉동,경기도 안성시 삼죽면,경기도 평택시 청북읍,N,Y,2,4439,0.3,1332,4440.0,4430.0,4440
문준영,1959-07-03,055-302-7938,66,서울특별시 강남구 개포동,32,14,경기도 가평군 가평읍,경기도 양평군 청운면,경기도 평택시 비전동,경기도 수원시 권선구 오목천동,경기도 이천시 대월면,경기도 부천시 원미구 약대동,N,N,0,35301,0.2,7060,35310.0,35300.0,35300
이성민,1974-12-07,032-884-8281,51,경기도 이천시 장호원읍,29,6,경기도 하남시 선동,경기도 수원시 권선구 오목천동,경기도 여주시 산북면,경기도 안성시 구포동,경기도 용인시 처인구 모현읍,경기도 수원시 영통구 신동,N,N,0,499407,0.2,99881,499410.0,499400.0,499410
오지원,1984-06-30,019-568-6026,41,경기도 연천군 왕징면,39,12,경기도 평택시 오성면,경기도 포천시 창수면,서울특별시 영등포구 당산동3가,경기도 연천군 군남면,경기도 안성시 신건지동,경기도 파주시 문산읍,N,N,0,4716,0.2,943,4720.0,4710.0,4720
이현정,1964-05-15,054-940-0733,61,서울특별시 강서구 마곡동,32,9,경기도 용인시,경기도 부천시 원미구 역곡동,서울특별시 관악구 신림동,경기도 양주시 남면,경기도 화성시 송산면,경기도 남양주시 진접읍,Y,N,0,627050,0.53,332336,627050.0,627050.0,627050
윤수민,2004-11-29,032-085-5866,21,경기도 연천군 백학면,37,5,경기도 양평군 지평면,경기도 평택시 고덕면,서울특별시 마포구 공덕동,경기도 이천시 부발읍,경기도 용인시 처인구 이동읍,경기도 안성시 대덕면,N,N,0,187452,0.3,56236,187460.0,187450.0,187450
김보람,1999-11-06,043-273-1413,26,경기도 평택시 서탄면,23,11,경기도 의정부시 의정부동,경기도 수원시 팔달구 지동,서울특별시 서초구 원지동,경기도 화성시 병점동,경기도 평택시 안중읍,경기도 이천시 마장면,N,Y,3,49981,0.5,24990,49990.0,49980.0,49980
이은경,1939-06-26,043-178-1735,86,경기도 성남시 분당구 하산운동,26,12,경기도 평택시 포승읍,경기도 이천시 백사면,경기도 양주시 덕계동,경기도 안성시 공도읍,경기도 안산시 상록구 수암동,서울특별시 중구 남대문로3가,N,Y,3,17821,0.5,8910,17830.0,17820.0,17820
김동현,1987-03-24,054-279-8604,38,경기도 포천시 가산면,29,11,경기도 연천군 중면,경기도 고양시 일산서구 주엽동,경기도 부천시 오정구 내동,경기도 연천군 미산면,경기도 안산시 단원구 신길동,경기도 안성시 원곡면,N,N,0,20855,0.2,4171,20860.0,20850.0,20860
이미정,1995-04-13,018-733-3291,30,경기도 화성시 장안면,22,8,경기도 화성시 향남읍,경기도 여주시 점동면,경기도 광주시 곤지암읍,경기도 포천시 관인면,서울특별시 강북구 번동,경기도 이천시 율면,Y,N,0,344911,0.53,182803,344920.0,344910.0,344910
황승현,1976-02-14,064-757-9992,49,경기도 여주시 산북면,45,8,경기도 김포시 풍무동,경기도 안성시 숭인동,경기도 김포시 장기동,경기도 양주시 장흥면,경기도 이천시 율면,경기도 양평군 양평읍,N,N,0,326731,0.2,65346,326740.0,326730.0,326730
한미숙,2002-04-07,064-731-6421,23,경기도 여주시 점동면,26,11,경기도 양평군 양평읍,경기도 이천시 마장면,경기도 화성시 팔탄면,서울특별시 은평구 녹번동,경기도 연천군 백학면,서울특별시 영등포구 영등포동,Y,N,0,340420,0.53,180423,340420.0,340420.0,340420
